materia,dificuldade,pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,alternativa_e,resposta_correta
Matemática,Fácil,Uma loja oferece 20% de desconto em um produto de R$ 250. Qual o preço final?,R$ 180,R$ 200,R$ 220,R$ 240,R$ 250,B
Matemática,Média,Uma função cresce 3 unidades para cada aumento de 1 em x. Qual é o coeficiente angular?,1,2,3,4,5,C
Linguagens,Fácil,"Em um texto argumentativo, qual elemento sustenta a tese apresentada?",Narrador,Argumento,Cenário,Rima,Título,B
Linguagens,Difícil,O uso de ironia em um texto produz principalmente qual efeito?,Neutralidade,Objetividade,Ambiguidade crítica,Precisão técnica,Padronização,C
Ciências Humanas,Fácil,A urbanização brasileira intensificou-se principalmente em qual século?,XV,XVI,XVII,XX,XIV,D
Ciências Humanas,Média,A globalização é marcada principalmente por:,Isolamento econômico,Integração de mercados,Fim da tecnologia,Redução da comunicação,Autossuficiência local,B
Ciências da Natureza,Fácil,Qual gás é mais associado ao efeito estufa?,Hélio,Oxigênio,Dióxido de carbono,Neônio,Hidrogênio,C
Ciências da Natureza,Difícil,"Em uma reação química balanceada, conserva-se principalmente:",A cor,A temperatura,A massa,O volume,A pressão,C
Matemática,Difícil,Uma aplicação rende juros compostos. O crescimento do montante é classificado como:,Linear,Constante,Exponencial,Logarítmico,Inverso,C
Redação/Interdisciplinar,Média,Uma proposta de intervenção no modelo ENEM deve apresentar:,Somente o problema,Apenas dados estatísticos,"Agente, ação, meio e finalidade",Somente conclusão,Apenas opinião,C
